昵称,星数,点赞数,评价,评价时间,
D5,allstar30 rating,107,这片子我不打分，这片子把观众的潜意识里面的装B形象勾引出来然后展现的淋漓尽致 ,2010/9/5 10:57,
亵渎电影,allstar50 rating,75,这个间谍故事在动作指导方面趋向007邦德系列，其中不少桥段都是导演诺兰在向自己最爱的邦德电影【女王密使】致敬，在我看来【奠基】更像是一部科幻版的 007电影。 ★★★★★,2010/7/20 15:39,
亚比煞,allstar40 rating,112,你永远记不起一个梦的开端，就像记不起我们如何来到这个世界上。,2010/9/12 6:12,
颜饭yy,allstar40 rating,75,要想从梦境里醒过来需要重大撞击，但有时你无法分辨到底是不是在梦里，所以有了陀螺这个图腾。然而你又怎么确定你现在经历的现实不会是一个梦境？梦醒的条件大概就是离开这个世界吧。梦、梦中梦、梦与现实错综复杂，即使烧脑多看几次也会看懂的电影，值得一看。,2018/1/17 15:02,
太苦了,allstar30 rating,74,HK iSquare。再过个10年的样子，应该就和The Shawshank Redemption一样，变成一部经典的鸡肋片。素质不低，但剪辑太碎，节奏也太仓促，结构的扭转还是掩盖不了一个弱剧本。另外实在对那些视诺兰如神明的文青对怀疑者的五毛式口气感到不解....,2010/8/2 14:30,
塔卡纳马塔塔,allstar30 rating,71,nolan的片一定要有痴情男死老婆么。。我觉得这片真的一般，部分情节拖沓，nolan的片总是看似很高科技，等琢磨清楚了觉得bug也挺多。小李为什么发育成了这样。,2010/9/2 20:52,
尽欢,allstar50 rating,64,你看梦中的世界说那是梦，梦中的世界看你亦是梦。珍惜已经拥有的，珍惜身边人。,2018/2/6 17:00,
Manita,allstar50 rating,66,在梦中打造自己的世界，其实也是挺恐怖的,2018/1/20 3:26,
雲叔,allstar10 rating,71,今年第一部让我还没看完就觉得烂得看不下去想回家的电影…,2010/9/1 13:40,
乱樂,allstar40 rating,56,电影比较烧脑，梦中梦，梦里有梦，不细看真不知道主角进入到第几层梦境,2018/1/16 11:27,
相逢何必不认识,allstar40 rating,57,"攻心为上，盗梦亦如此，每个人的大脑都是一个黑洞，梦就是释放的魔鬼。
不打五分，就是你不懂这部片子，打低分就是你懂咯，?真不晓得导演所描述的是不是每个人所想的，哈哈。
想我这种，醒来顶多记得梦中梦，好想尝试自我修复啊。
下回睡觉就在微醺的时候播老太太的歌，然后带上我的幸运戒指睡觉",2018/1/14 8:50,
世界尽头,allstar50 rating,57,感觉永远无法走出一层又一层的梦境,2017/6/8 18:53,
婷婷爱八卦,allstar40 rating,58,好烧脑的电影，看了两次才看明白，好吧自己笨了点。佩服编剧导演了,2017/12/22 9:00,
滚滚的麻麻,allstar50 rating,48,越往后看，越觉得自己的大脑不够用的，敬佩编剧。,2017/8/15 0:26,
命中注定的爱,allstar40 rating,53,设置了很多悬疑，每次重新看都有新的发现，是一部经典的电影！,2018/2/9 22:31,
眠去,allstar50 rating,54,“新概念、新想法、新观点是一部好电影所赋予的比票根寿命还长的纪念品。”究竟是庄周做梦变成了蝴蝶，还是蝴蝶做梦变成了庄周，又有谁知道！最后陀螺有没有倒下，对我已经没有什么差别了 ,2010/9/2 23:33,
いっぱい脸红红,allstar50 rating,59,豪华版memento,2010/7/17 3:12,
七沐妹妹,allstar40 rating,52,重温了盗梦空间，的确没必要拿它跟红辣椒比。多年以后，还是很喜欢的。诺兰把梦境感做的很足，跌落的瞬间也很令人信服，电影真的植入了怀疑真实的一颗种子，此时的我分不清梦境与现实。,2018/2/2 20:17,
都是小金猪啊,allstar40 rating,42,自我代入感太强，看完后当晚就做了梦中梦，醒来傻乎乎的就晕了 不知道是梦还是现实,2018/1/18 11:21,
▲,allstar50 rating,57,"You're waiting for a train, a train that will take you far away. You know where you hope this train will take you, but you can't be sure. But it doesn't matter - because we'll be together.",2010/9/2 1:26,
卢十四,allstar50 rating,54,一定要耐心看完字幕。我承认最后那几秒镜头我完全没想到……,2010/9/2 23:07,
爱吃瓜的小本本,allstar40 rating,40,看的时候绝不能分神 不然马上就看不懂剧情了,2018/2/1 15:51,
