元非,5 星,混帮派果然还是贵支出身的最能上位。黑白通吃，身份切换毫无PS痕迹。
武侠小王子,4 星,李政宰的阴柔狠辣也颇有杜琪峰中古仔的几分意思。
阿德,4 星,干，又是自编自导，节奏的把控很强，标准的商业片范，非和谐版的“无间道”（穿插的暴力和结尾的安排只能让国内导演艳羡），继续感慨韩国电影的生命力吧！
法兰西胶片,4 星,对林岭东杜琪峰这一类的包装再生能力已经炉火纯青了，配乐还是《色戒》的变奏，相当可以。
山上风下,4 星,愈加看清无论身处黑白都只是棋子，正义也不过是搅局的幌子，还不如更珍惜真挚待己的兄弟情义，学会心狠一黑到底。爱情片一刚，李政宰是很帅没错啦，但假如让河正宇来演会不会更好啊。。。。
笑挽冷风,4 星,人物架构有迹可循，深受香港电影影响，非黑即白，正邪不两立。有飞车有心理战，步步为营，追求故事精彩和商业娱乐性
月下独酌,5 星,这部韩国黑帮文艺片上很多老港片的影子，应该受《无间道》和《黑社会》影响很深。很喜欢黄政民和李政宰在影片中的表现。
水浒三国金刚,4 星,无间道+极恶非道+黑社会
大島,4 星,当卧底就等于加入了最大的黑社会
马千,5 星,比无间道好一个档次。更纯粹，更人性。
汪金卫,5 星,《无间道》+《黑社会》+一黑到底。张力十足，扣人心弦。真好看啊！发现类似题材的韩国电影都处理成这种一黑到底的模式，让观众看到最黑的结局。够劲！李政宰和黄政民演得太好了。音乐也太棒！即使有些角色与节奏上的问题（女性角色存在感弱），崔岷植演技没发挥余地，但还是瑕不掩瑜，果断五星
jun.,3 星,渣脚本。
赵启辰,3 星,一直两星到最后给加了半颗，只有两段音乐反复用的穷片儿，至少可以再剪短15分钟，老婆出现得太晚且没给任何信息量以至于开头警察的小撒娇完全找不到由头，加之中路情节太墨迹太平淡无奇，结尾除了逆袭又没有任何可能性，基本就被作者封闭住了。Diana小姐你一定是被帅哥迷惑了！
丁小猫,4 星,果然是无间道+黑社会，不过绝对可以加入#美妙结局#名单！
赱馬觀♣,4 星,韩国类型片固然个性不够鲜明，但因此就抑制不住给《新世界》打二星，还是基本忽视了电影存在着类似绘画技巧的专业美学门槛：可以缺乏原创，循规蹈矩（虽非大师级画作），但各主要环节，却绝对不能表现的业余（但没人敢说我画技差）！国片近期烂片云集，恰恰就烂在：观众一眼便知，那厮根本不会画画！
乱骂2分之1,4 星,我对无间道的无情感性和理想化不满意。在这里获得了，虽好我一眼就发觉黄政民为关键角色。但是此片也仅仅是反转无间道。
国产凌凌期,4 星,完不完爆无间道先不说，电影质感相当不错。李崔黄三人演技对抗撑起来了半部电影。另外，黄海和新世界的教训告诉观众延边的朝鲜黑帮都是打不死的bug设定。
shawnj,4 星,这世上果然有比陈永仁更憋屈但也更会求生的卧底存在，“我想做个好人”已经过时，洗白不成干脆就做成pro。纵观全局，中国黑客、华侨、延边棒子无处不在，这是多么大的一盘棋。
元宝宝,3 星,我怎么看完以后感觉是韩国版的无间道呢？即使故事终结了也没有所谓的赢家，无论黑道白道，人在江湖飘，自己的命运永远不由自己掌握！
American Eagle,5 星,第一次看到这么精彩的韩国电影，布局和逻辑非常缜密，演员的演技真是精彩，李政宰简直是出神入化。且非常的有无间道的感觉，原声配乐极为大气，卧底被揭发出来和车库打斗戏悲壮精彩，难得的好片子！
有心打扰,4 星,甩了同时期香港黑帮片几条街了..自惭形秽；从剧情、演员、配乐到镜头，似乎都无可挑剔了，很赞；兄弟有义，制度无情。
回转艾丽卡,4 星,龙虎风云无间道黑社会教父一锅炒，没有片尾的前日谈就是个充满即视感的大杂烩，但最后两分钟硬把片子拉高一个档次
栗色雪,4 星,韩版无间道，人物都立得住。可惜点儿的是李政宰的角色从头到尾都太受气包，黄政民倒是痞得来劲儿。阵容华丽。
话事人,5 星,崔岷植是看起来很老还是真的很老了，政民哥还是演什么都那么优雅，丁青在子成面前杀卧底的时候到底还是。。。前面奔放后面压抑配合临终遗言加上个黑暗的结尾在上一层楼。片子里丁青口中的延边老棒子和中国律师对中国黑客的介绍真的是他妈的好玩
boks,5 星,开始还觉得致敬或借鉴无间道，后面一黑到底干了 ！！ 哪有什么警察身份、卧底纪律、卧底卧到坐馆的伦理困境啊，做得好继续做就是。黑帮即政治
Esaka.lower(),1 星,李政宰你从来不吃亏啊。
沙漠中的西蒙,3 星,6分，开局一般，结尾才渐入佳境，人物塑造也略显凌乱【也是开头差的原因】，好莱坞拿去改编，想达到无间风云的程度，还是需要再下一番功夫的。【该片的分数范围6-7分】
大桥哥的世界,4 星,金权所至，人才云集。
悦然,4 星,被最后一小段感动了。
你还有没有梦想,5 星,今年看过最好的韩国片
Joe,4 星,不一样。
